experiment,period,use_market_filter,use_atr_trailing_stop,use_inverse_volatility_sizing,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,benchmark_total_return,excess_total_return,benchmark_annual_return,excess_annual_return,benchmark_max_drawdown,max_drawdown_gap,beats_benchmark_total_return,beats_benchmark_annual_return,calmar_ratio,information_ratio,positive_day_ratio,trade_win_rate,average_win,average_loss,payoff_ratio,profit_factor,average_holding_days,turnover,average_exposure,median_exposure,low_exposure_day_ratio,average_positions,zero_position_day_ratio,executed_trade_count,sell_trade_count,unique_symbols_traded,top_symbol_trade_value_share,total_commission,total_stamp_tax,total_slippage_cost,total_transaction_cost,transaction_cost_to_trade_value,final_value
E0_baseline,sample_in,False,False,False,0.1957530644146519,0.037680747434860606,0.11946216936331429,0.06429439106786632,-0.3072075280437149,0.5022165042569666,-0.3064634398423147,0.08784081912570496,-0.050160071690844354,-0.32461968881054826,0.017412160766833384,0.0,0.0,0.12265567733580646,-0.3959597761177678,0.4691865242399343,0.3835978835978836,0.1310228639043946,-0.058754885829430406,2.2299909540248835,1.20215702149055,47.166666666666664,35.72252526836937,0.47202826396551906,0.4260945596703742,0.2832512315270936,9.795566502463053,0.09688013136288999,767.0,378.0,87.0,0.03721665103583529,11576.74345235,19151.153633,19294.038499997878,50021.93558534788,0.001296300999466527,1195753.0644146518
E0_baseline,historical_validation,False,False,False,-0.09919652170984938,-0.021486898271187438,0.1398978498110241,-0.36803209156349886,-0.40249991903470517,-0.12107303160357041,0.02187650989372103,-0.026476095856458937,0.004989197585271499,-0.4560262048486471,0.05352628581394192,1.0,1.0,-0.053383608927719435,-0.010999326710482888,0.3963666391412056,0.34710743801652894,0.11144242383769344,-0.06156757408976653,1.8100830751461567,0.8022419953168162,39.73829201101928,38.187312528346126,0.4143601378478975,0.33977870586712666,0.30363036303630364,7.797029702970297,0.1485148514851485,740.0,363.0,89.0,0.03462391669936996,9552.531482849998,15473.805227,15919.184999998271,40945.52170984827,0.001286025600396331,900803.4782901506
E1_market_filter,sample_in,True,False,False,0.3334594889797009,0.061348218021302525,0.08776550767325547,0.35718152668824793,-0.11547221603287938,0.5022165042569666,-0.16875701527726572,0.08784081912570496,-0.026492601104402436,-0.32461968881054826,0.20914747277766887,0.0,0.0,0.5312812045092676,-0.23874765938593773,0.2900575184880855,0.43018867924528303,0.1314498936618121,-0.05498604809700704,2.3906044935236412,1.8370763287047602,48.5811320754717,21.778601293008645,0.2937524997603034,0.07247567841634128,0.5566502463054187,7.185550082101806,0.458128078817734,541.0,265.0,83.0,0.031120288434008398,7121.0854623,11761.000558000002,11868.424999998577,30750.511020298578,0.0012954701014232727,1333459.488979701
E1_market_filter,historical_validation,True,False,False,-0.02714858431844902,-0.00570645039485107,0.062274725965286326,-0.5733698517558286,-0.11567193453739644,-0.12107303160357041,0.09392444728512139,-0.026476095856458937,0.020769645461607866,-0.4560262048486471,0.34035427031125065,1.0,1.0,-0.049333059204661175,0.039626060490005145,0.17753922378199835,0.3502824858757062,0.100436124222937,-0.06023927777189984,1.667286327755211,0.8808903864371033,42.72316384180791,12.712489542011324,0.15975941354853587,0.0,0.745049504950495,4.068481848184819,0.6353135313531353,354.0,177.0,76.0,0.0410389424847626,3624.0770179499996,6031.3818005,6040.125499999294,15695.584318449293,0.0012992757251605827,972851.415681551
E2_atr_trailing_stop,sample_in,False,True,False,0.14982987523385183,0.029306891156543724,0.10932381931951486,-0.00633996184702039,-0.30566899505957823,0.5022165042569666,-0.3523866290231148,0.08784081912570496,-0.05853392796916124,-0.32461968881054826,0.018950693750970027,0.0,0.0,0.09587786668003895,-0.4328831079987709,0.4601479046836483,0.3702770780856423,0.11675354790916614,-0.05319835444633733,2.1946834469652385,1.1577915904814249,36.476070528967256,37.60560262529978,0.39261919102624104,0.2977139418526153,0.4121510673234811,7.928571428571429,0.1444991789819376,804.0,397.0,87.0,0.03517555713364661,12032.10708365,19915.6721825,20053.345499997828,52001.12476614783,0.0012965656822971569,1149829.8752338518
E2_atr_trailing_stop,historical_validation,False,True,False,-0.07807130089649883,-0.01675931242463191,0.13191406841531994,-0.354467972873176,-0.34257274252568126,-0.12107303160357041,0.043001730707071584,-0.026476095856458937,0.009716783431827025,-0.4560262048486471,0.11345346232296583,1.0,1.0,-0.04892190867571881,0.015554101784661458,0.3674649050371594,0.34574468085106386,0.09543820449805644,-0.055731818702837846,1.7124545137658815,0.8205706465888514,32.441489361702125,39.746045131609726,0.35023384456491835,0.24085523147785243,0.45957095709570955,6.564356435643564,0.2103960396039604,767.0,376.0,89.0,0.038578413607735756,10358.997587499998,16816.969309,17264.333999998154,44440.30089649816,0.0012870388150575693,921928.6991035012
E3_inverse_volatility_sizing,sample_in,False,False,True,0.18187732430405257,0.03517787066428979,0.11386487040011957,0.04547382038107825,-0.2987898214758662,0.5022165042569666,-0.32033917995291405,0.08784081912570496,-0.05266294846141517,-0.32461968881054826,0.025829867334682066,0.0,0.0,0.11773450143157294,-0.4125003656449134,0.4683648315529992,0.3815789473684211,0.13100791983404664,-0.058991833048623564,2.2207806244309167,1.1989193980858113,46.96052631578947,35.72136340992517,0.48231464291065773,0.4375009748904821,0.28981937602627256,9.805418719211822,0.09688013136288999,771.0,380.0,87.0,0.051074756573397974,12147.862338449999,20083.2383575,20179.57499999775,52410.67569594775,0.0012986042480921222,1181877.3243040526
E3_inverse_volatility_sizing,historical_validation,False,False,True,-0.014897932682798265,-0.003116030634737421,0.13503959056230086,-0.24523201304775324,-0.34403766095633204,-0.12107303160357041,0.10617509892077215,-0.026476095856458937,0.023360065221721515,-0.4560262048486471,0.11198854389231505,1.0,1.0,-0.009057237007354646,0.11898188936360664,0.40545004128819156,0.35294117647058826,0.11143787118482236,-0.06154509171445566,1.8106703244809355,0.9418907055817051,39.50700280112045,38.10227733977594,0.4313971369902343,0.38416781135407835,0.2995049504950495,7.608910891089109,0.1485148514851485,726.0,357.0,87.0,0.04846395601923098,10149.1660328,16427.482150000003,16856.28449999813,43432.932682798135,0.0012883144810974286,985102.0673172018
E4_market_filter_atr,sample_in,True,True,False,0.3379537169970013,0.062087324078141215,0.08119408911984999,0.3951928573369098,-0.09668318782663288,0.5022165042569666,-0.16426278725996535,0.08784081912570496,-0.025753495047563746,-0.32461968881054826,0.22793650098391538,0.0,0.0,0.6421729100355368,-0.23237916347207907,0.28019720624486444,0.420863309352518,0.12279283844767497,-0.048960411994193306,2.50800255647845,1.9009388073527975,37.69064748201439,22.810736173421418,0.24682410724388898,0.0,0.6165845648604269,5.85303776683087,0.5032840722495895,566.0,278.0,83.0,0.031007310147462726,7466.589802500001,12353.4192005,12444.27399999851,32264.28300299851,0.0012963461442141479,1337953.7169970013
E4_market_filter_atr,historical_validation,True,True,False,-0.050121849271199004,-0.010634660387287331,0.05869381647630706,-0.6923158660791862,-0.11848736153789219,-0.12107303160357041,0.07095118233237141,-0.026476095856458937,0.015841435469171605,-0.4560262048486471,0.3375388433107549,1.0,1.0,-0.0897535420593054,0.00915164258860541,0.17010734929810073,0.33879781420765026,0.08346201743371974,-0.05393780167356243,1.5473752144894808,0.7767351634923629,33.68852459016394,13.440385579313418,0.12886732633544157,0.0,0.8118811881188119,3.301155115511551,0.6592409240924092,366.0,183.0,76.0,0.040452553876819196,3840.8786246999994,6381.5146465,6401.455999999291,16623.849271199288,0.0012984411299248797,949878.150728801
E5_market_filter_inverse_vol,sample_in,True,False,True,0.26466770702860165,0.04978066965468564,0.08286166259782644,0.23871919817361364,-0.1178789692463319,0.5022165042569666,-0.23754879722836497,0.08784081912570496,-0.03806014947101932,-0.32461968881054826,0.20674071956421636,0.0,0.0,0.422303231636331,-0.30471035403058766,0.2818405916187346,0.42803030303030304,0.1320569506307895,-0.05498712856765735,2.401597502373738,1.6854301902252373,48.75,21.757313769182225,0.29879265917899844,0.04275375418154442,0.5574712643678161,7.183087027914614,0.458128078817734,539.0,264.0,83.0,0.043098966954712596,7118.9419944,11772.156977000002,11843.193999998583,30734.292971398587,0.001297547284912671,1264667.7070286016
E5_market_filter_inverse_vol,historical_validation,True,False,True,-0.014030316322499514,-0.0029335412513223913,0.05888783468125764,-0.5592588253513118,-0.09363761614456512,-0.12107303160357041,0.1070427152810709,-0.026476095856458937,0.023542554605136545,-0.4560262048486471,0.36238858870408197,1.0,1.0,-0.031328662263180214,0.05471002317896255,0.1750619322873658,0.3630952380952381,0.10091588296906842,-0.06041133976359003,1.6704791412338535,0.9367762804870755,42.166666666666664,12.779057131980657,0.16436912578906493,0.0,0.7202970297029703,3.8168316831683167,0.6353135313531353,336.0,168.0,73.0,0.058611816670862765,3725.7095069999996,6187.2738155,6189.332999999268,16102.316322499268,0.0013008120317763267,985969.6836775005
E6_atr_inverse_vol,sample_in,False,True,True,0.15415312292115346,0.030106408890887115,0.10274420118377724,0.0010356680928083146,-0.2867054973306967,0.5022165042569666,-0.34806338133581316,0.08784081912570496,-0.057734410234817846,-0.32461968881054826,0.03791419147985153,0.0,0.0,0.10500813263500584,-0.42778771279112004,0.46343467543138867,0.36683417085427134,0.11711935099641002,-0.053462043041119824,2.190700997085517,1.1723139012384336,36.29396984924623,37.487072783001196,0.3958955906720558,0.2970546572702155,0.4129720853858785,7.907224958949097,0.1444991789819376,806.0,398.0,87.0,0.048129015670039035,12484.838028849997,20640.574550000005,20740.464499997717,53865.87707884772,0.0012985668853596295,1154153.1229211534
E6_atr_inverse_vol,historical_validation,False,True,True,-0.021086805508198636,-0.00442146834213164,0.1257727877868938,-0.273679775632027,-0.30766703478117885,-0.12107303160357041,0.09998622609537178,-0.026476095856458937,0.022054627514327296,-0.4560262048486471,0.14835917006746824,1.0,1.0,-0.01437095249829514,0.09664792832474779,0.37737407101568954,0.3523035230352303,0.09543379192681214,-0.055787384759493054,1.7106697569394964,0.9282785118261281,32.452574525745256,39.61269772738967,0.3604032794660356,0.2550662890419649,0.43481848184818483,6.4249174917491745,0.2103960396039604,750.0,369.0,87.0,0.05501216167670733,10776.9999302,17481.099078,17910.706499998072,46168.80550819807,0.001288845392042582,978913.1944918013
E7_all_modules,sample_in,True,True,True,0.26765664236145104,0.05029351364377366,0.07433495089064579,0.27300096926985884,-0.09395448000757278,0.5022165042569666,-0.2345598618955156,0.08784081912570496,-0.0375473054819313,-0.32461968881054826,0.23066520880297547,0.0,0.0,0.5352965993715252,-0.2983180746179959,0.2736236647493837,0.4166666666666667,0.12388706379885367,-0.04896107394460097,2.5303175322304168,1.7415821804489982,37.75,22.99453826491598,0.24386684515904708,0.0,0.6157635467980296,5.818555008210181,0.5032840722495895,562.0,276.0,83.0,0.04998592587429478,7458.68919155,12343.930947,12411.73749999852,32214.35763854852,0.0012977344089508136,1267656.642361451
E7_all_modules,historical_validation,True,True,True,-0.03481597786679935,-0.007340907945947772,0.054733259912365856,-0.682234312477181,-0.09681941455634424,-0.12107303160357041,0.08625705373677106,-0.026476095856458937,0.019135187910511164,-0.4560262048486471,0.35920679029230285,1.0,1.0,-0.07582061903168932,0.02722458363769805,0.1717588769611891,0.3448275862068966,0.08405757998600201,-0.054082273913607024,1.5542538044956953,0.8335344701827205,33.701149425287355,13.40933195446315,0.13337432546481995,0.0,0.7937293729372937,3.1485148514851486,0.6592409240924092,348.0,174.0,73.0,0.06388042565671549,3895.7269908,6465.013876,6477.236999999282,16837.97786679928,0.0012997799974801664,965184.0221332007
